Emote,Text
😊,senang
😔,sedih
😂,tertawa
😭,menangis
😀,senyum
😄,senyum
😆,tertawa 
🤣,tertawa
😉,mengedip
😇,baik
😁,menyeringai
😅,keringat senyum
🙃,wajah terbalik
😛,bermuka tebal
🤗,pelukan
😏,menggoda
😍,kagum
😢,sedih berat
🤔,berpikir
🥺,wajah memohon
👏,tepuk tangan
🥰,terpikat
🙏,doa
💜,kasih sayang
🎉,kegembiraan
🤲,berdoa
💪,kekuatan
🔥,semangat
😎,santai
😌,tenang
😋,menyenangkan
🤩,kagum
😴,mengantuk
😕,bingung
😒,frustasi
😟,khawatir
😞,kecewa
😣,tersiksa
😤,marah
😰,cemas
😥,sedih
😩,lelah
😫,kelelahan
🤯,terkejut
😱,ketakutan
😨,ketakutan
😵,pusing
🥱,menguap
😮,terkejut
😲,terkejut
🤭,malu
😶,bingung
🫡,hormat
👍,setuju
😘,kasih sayang
🥹,sedih
