Slang,Formal
dgn,dengan
g,tidak
u,kamu
ntar,nanti
hrs,harus
w,aku
org,orang
tdk,tidak
kk,kakak
thebest,terbaik
kdua,kedua
tnpa,tanpa
salfok,salah fokus
sdh,sudah
dtng,datang
the best,terbaik
lu,
ane,saya
kejeer,kejer
terimakash,terima kasih
god bless you,tuhan memberkati
i love you,aku sayang kamu
i love,aku suka
thnks,terima kasih
biasaterharu,biasa terharu
papuatolerans,papua toleransi
papuaâ€¦,papua
ï¸, 
hadeeh,haduh
jwa,jawa
alhamdulilahhh,alhamdulilah
a, 
brni,berani
cheff,chef
swt,
love,sayang
you,kamu
i,saya
walopun,walaupun
shooting,syuting
beraama,bersama
bravoo, 
god bless,tuhan memberkati
terimah,terima
request,meminta
papuatoleransi,papua toleransi
ku,saya
papuaâ€,papua
saudsraku,saudaraku
ksihan,kasihan
gue,
ngluarin,mengeluarkan
anteri,antri
mash,masih
sedap betol,enak sekali
nyur,mencuri
notabene,terkenal
respek,hormat
real,asli
kali,sekali
pmbangunan,pembangunan
loh,loh
majuuuu,maju
bobonnnnnnnn,bobon
saking,sangat
aamiinn, 
gwe, 
iklas,ikhlas
mu,kamu
bserta,beserta
bngsa,bangsa
cntoh,contoh
smangaaat,semangat
knapa,kenapa
trimakasih,terima kasih
trimakadih,terima kasih
merrka,mereka
masy,masyarakat
bocil, 
my bless,berkah
lwat,lewat
t,triliyun
free west,barat bebas
sodar,sodara
vlog,video
bae,baik
thx,terima kasih
teruske,lanjutkan
dating,dateng
lagiâ€¦,lagi
yth,
trikasih,terimakasih
pernh,pernah
dtang,datang
be your self,jadi diri sendiri
ter support,mendapat dukungan
kru,tim
welcome,selamat
sedihdr,sedih
lanjtkan,lanjutkan
sdr,sedari
influence,pengaruh
trimksh,terimakasih
klwrg,keluarga
guys,semua
sluruh,seluruh
gas,
sda,sumber daya alam
